entity_id,stratum,period,hclass,has_role_b,pop_n,sample_n,weight
as1-c2bb16311d39803e#3,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-f5e520825acf89ef#26,1918-1930|F|role,1918-1930,F,role,4328,25,173.12
as1-3ea879ee537a04c4#1,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-aae047e9fc19e51a#5,1948-1963|F|role,1948-1963,F,role,6926,25,277.04
as1-f899da0d31b6e542#44,1918-1930|N|role,1918-1930,N,role,25598,25,1023.92
as1-bb5dc433e407a837#0,1918-1930|M|role,1918-1930,M,role,1439,25,57.56
as1-99fb4933c48b6f5d#7,1918-1930|F|role,1918-1930,F,role,4328,25,173.12
as1-6c90c7b3328ef2a5#2,1948-1963|F|role,1948-1963,F,role,6926,25,277.04
as1-6363e69a88ae46ed#1,1933-1945|N|norole,1933-1945,N,norole,175732,25,7029.28
as1-562dca7be0736a10#7,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-720358585268efda#7,1900-1915|N|norole,1900-1915,N,norole,190443,25,7617.72
as1-a381745c71119694#3,1933-1945|N|role,1933-1945,N,role,29947,25,1197.88
as1-57ae8906c501a38f#20,1933-1945|M|norole,1933-1945,M,norole,6736,25,269.44
as1-d1ab468e35dc0a53#21,1948-1963|F|norole,1948-1963,F,norole,49313,25,1972.52
as1-19157ffcd97e8f63#0,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-51700423bd372c26#6,1918-1930|M|norole,1918-1930,M,norole,7060,25,282.4
as1-ed01acb0b018113f#1,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-dd940b44b48088f7#5,1933-1945|M|role,1933-1945,M,role,1796,25,71.84
as1-4251c04d18251c68#5,1933-1945|F|norole,1933-1945,F,norole,36949,25,1477.96
as1-09b86e60f3400d7b#0,1933-1945|N|norole,1933-1945,N,norole,175732,25,7029.28
as1-c60f44240d3b53b2#5,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-aa6950e0ff28d03d#5,1948-1963|F|norole,1948-1963,F,norole,49313,25,1972.52
as1-0690f96c383d84e2#21,1933-1945|F|norole,1933-1945,F,norole,36949,25,1477.96
as1-e533a795e47df3cb#27,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
