citation,venue_year,dataset,years_covered,measurement,method,main_result,limitations,relation_to_this_project,verified_url
"Asr, F.T., Mazraeh, M., Lopes, A., Gautam, V., Gonzales, J., Rao, P., Taboada, M. The Gender Gap Tracker: Using Natural Language Processing to measure gender bias in media",PLOS ONE 16(1):e0245533 (2021),Seven Canadian English-language online news outlets,2018-2020,Gender of quoted people,"NER, coreference, quote extraction, name-based gender services","Men quoted about three times as often as women; pattern stable across outlets and time",Short window; relies on name-to-gender inference; modern online news only,Closest methodological template for quote counting. We avoid name-based gender inference and study a 64-year span,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0245533
"Jia, S., Lansdall-Welfare, T., Sudhahar, S., Carter, C., Cristianini, N. Women Are Seen More than Heard in Online Newspapers",PLOS ONE 11(2):e0148434 (2016),Online news articles and images (URLs on Dryad),Circa 2013-2014,Gender of people mentioned vs. quoted vs. pictured,"NLP gender detection, face detection","Women less often quoted than mentioned or pictured",Modern online news; name- and pronoun-based classifiers,Source of H7 (quoted share below mentioned share); we test the same contrast historically,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0148434
"Garg, N., Schiebinger, L., Jurafsky, D., Zou, J. Word embeddings quantify 100 years of gender and ethnic stereotypes",PNAS 115(16):E3635-E3644 (2018),"Google Books / COHA embeddings, NYT, U.S. Census",1910-1990s,Embedding association between gender words and occupation/adjective words,Diachronic word embeddings compared with Census occupation data,Embedding bias tracks occupational participation and social movements,"Aggregate association, not person-level representation; embedding instability",Motivates diachronic role associations; our unit is the person-in-article and we compare against direct measurements,https://www.pnas.org/doi/abs/10.1073/pnas.1720347115
"Underwood, T., Bamman, D., Lee, S. The Transformation of Gender in English-Language Fiction",Journal of Cultural Analytics (2018),HathiTrust fiction,1780-2007,Character gender and gender-differentiated description,BookNLP character extraction with pronoun-based gender; predictive models,"Gendered description of characters becomes less differentiated over time; share of fiction written by women falls 1850-1950",Fiction rather than news; pronoun-based gender inference,Closest historical analogue; pronoun-based character gender parallels our tier 2,https://culturalanalytics.org/article/11035
"Dell, M., Carlson, J., Bryan, T., Silcock, E., Arora, A., Shen, Z., D'Amico-Wong, L., Le, Q., Querubin, P., Heldring, L. American Stories: A Large-Scale Structured Text Dataset of Historical U.S. Newspapers",NeurIPS Datasets & Benchmarks (2023),Chronicling America scans re-processed with layout detection and OCR,1774-1963,Article-level text (headline/byline/body) with legibility labels,Deep-learning layout segmentation and OCR,Tens of millions of structured historical articles released CC-BY-4.0,OCR noise; uneven digitisation across papers and years,Our corpus. Its coverage cliff at 1923 and per-paper imbalance are modelled explicitly,https://huggingface.co/datasets/dell-research-harvard/AmericanStories
"van Strien, D., Beelen, K., Ardanuy, M.C., Hosseini, K., McGillivray, B., Colavizza, G. Assessing the Impact of OCR Quality on Downstream NLP Tasks",ICAART / ARTIDIGH (2020),Historical newspapers with OCR/ground-truth pairs,19th-20th c.,"Effect of OCR errors on sentence segmentation, NER, dependency parsing, IR, topic models, LM fine-tuning",Controlled comparison of OCR vs. corrected text,"OCR noise harms downstream tasks, with effects that vary widely by task",Does not address gender measurement,Justifies OCR-quality stratification and the legible-only robustness spec,https://www.turing.ac.uk/news/publications/assessing-impact-ocr-quality-downstream-nlp-tasks
"Devinney, H., Björklund, J., Björklund, H. Theories of ""Gender"" in NLP Bias Research",FAccT (2022),Survey of 176 NLP gender-bias papers,n/a,How papers define and operationalise gender,Systematic literature review,"Most papers leave their theory of gender implicit, few are inclusive of non-binary genders, and many conflate sex, social gender and linguistic gender",Survey,Motivates explicit separation of textual gender signal from identity in our measurement framework,https://arxiv.org/abs/2205.02526
"Hamilton, W.L., Leskovec, J., Jurafsky, D. Diachronic Word Embeddings Reveal Statistical Laws of Semantic Change",ACL (2016),Six historical corpora in four languages,Up to 200 years,Semantic change of words,PPMI/SVD/word2vec with Procrustes alignment,Frequent words change more slowly; polysemous words change faster,Embedding instability; OCR not modelled,Warns that role terms (e.g. 'secretary') drift in meaning; motivates context-based role methods over fixed lexicons,https://aclanthology.org/P16-1141/
"Antoniak, M., Mimno, D. Evaluating the Stability of Embedding-based Word Similarities",TACL 6:107-119 (2018),Several small and medium corpora,n/a,Stability of embedding nearest neighbours,Bootstrap resampling of training documents,"Nearest-neighbour similarities are highly sensitive to corpus composition, especially in small corpora",Methodological,Reason we treat embedding neighbourhood analyses as exploratory and bootstrap them,https://aclanthology.org/Q18-1008/
"Sap, M., Prasettio, M.C., Holtzman, A., Rashkin, H., Choi, Y. Connotation Frames of Power and Agency in Modern Films",EMNLP (2017),Movie scripts,Modern,Power and agency implied by verbs attached to characters,Crowdsourced verb connotation lexicon plus dependency parsing,Female characters portrayed with less power and agency,Modern film dialogue; lexicon crowdsourced from modern annotators,Informs agent/patient verb analysis; we use syntactic role rather than modern connotation judgements,https://aclanthology.org/D17-1247/
"Fu, L., Danescu-Niculescu-Mizil, C., Lee, L. Tie-breaker: Using language models to quantify gender bias in sports journalism",IJCAI Workshop on NLP Meets Journalism (2016),Tennis post-match interview transcripts,2000-2015,Topical focus of journalists' questions by player gender,Language-model based typicality measure,Female players asked more questions unrelated to the game,Single sport and genre,Example of within-topic (sports) comparison; supports topic-conditional analysis,https://www.cs.cornell.edu/~liye/tennis.html
"Rudinger, R., Naradowsky, J., Leonard, B., Van Durme, B. Gender Bias in Coreference Resolution",NAACL-HLT (2018),Winogender schemas (constructed minimal pairs),n/a,Occupation-dependent gender bias in coreference systems,Diagnostic minimal-pair evaluation,Coreference systems resolve pronouns in occupation-stereotyped ways,Diagnostic; high PPV low NPV,"Why we avoid learned coreference for gender assignment and use a transparent, validated pronoun rule",https://aclanthology.org/N18-2002/
"Lappin, S., Leass, H.J. An Algorithm for Pronominal Anaphora Resolution",Computational Linguistics 20(4):535-561 (1994),Technical manuals,n/a,Pronoun antecedent selection,Salience-weighted syntactic algorithm (RAP),Salience from syntactic role (subject preference) resolves most pronouns,Pre-neural; domain-specific evaluation,Basis of our subject-preference salience filter for the pronoun tier,https://aclanthology.org/J94-4002/
"Monroe, B.L., Colaresi, M.P., Quinn, K.M. Fightin' Words: Lexical Feature Selection and Evaluation for Identifying the Content of Political Conflict",Political Analysis 16(4):372-403 (2008),U.S. Senate speeches,1997-2004,Distinctive words between groups,Log-odds ratio with informative Dirichlet prior,Regularised log-odds outperforms raw frequency and chi-square for distinctive-word selection,Group comparison only; no confound control on its own,Our estimator for verb/modifier contrasts (applied within topic strata),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1448450
"Steegen, S., Tuerlinckx, F., Gelman, A., Vanpaemel, W. Increasing Transparency Through a Multiverse Analysis",Perspectives on Psychological Science 11(5):702-712 (2016),Fertility and religiosity study (example),n/a,Sensitivity of conclusions to data-processing choices,Multiverse analysis across all reasonable processing paths,Single-path analyses can be misleading; report the full multiverse,Methodological,Template for our robustness grid (research/measurement_framework.md §12),https://journals.sagepub.com/doi/10.1177/1745691616658637
"World Association for Christian Communication (WACC). Who Makes the News? 6th Global Media Monitoring Project (GMMP 2020)",GMMP report (2021),"News monitored on one day across 116 countries (print, broadcast, digital)",1995-2020 (5-yearly),Share of news subjects and sources who are women,Manual coding by trained volunteer monitors,Women were 25% of people heard or seen in the news in 2020,Single-day snapshots; manual coding; modern era only,Modern benchmark that our historical series ends well before; used for context only,https://whomakesthenews.org/wp-content/uploads/2021/07/GMMP2020.ENG_.FINAL20210713.pdf
